"year","pop","country"
"1960",5073342,"Madagascar"
"1961",5206239,"Madagascar"
"1962",5343117,"Madagascar"
"1963",5484252,"Madagascar"
"1964",5630024,"Madagascar"
"1965",5780453,"Madagascar"
"1966",5936461,"Madagascar"
"1967",6099529,"Madagascar"
"1968",6270528,"Madagascar"
"1969",6450324,"Madagascar"
"1970",6639751,"Madagascar"
"1971",6840457,"Madagascar"
"1972",7051090,"Madagascar"
"1973",7268560,"Madagascar"
"1974",7491935,"Madagascar"
"1975",7720859,"Madagascar"
"1976",7955197,"Madagascar"
"1977",8195142,"Madagascar"
"1978",8440919,"Madagascar"
"1979",8692289,"Madagascar"
"1980",8948162,"Madagascar"
"1981",9207310,"Madagascar"
"1982",9470990,"Madagascar"
"1983",9740088,"Madagascar"
"1984",10015017,"Madagascar"
"1985",10297746,"Madagascar"
"1986",10588428,"Madagascar"
"1987",10890514,"Madagascar"
"1988",11206789,"Madagascar"
"1989",11536734,"Madagascar"
"1990",11882762,"Madagascar"
"1991",12245260,"Madagascar"
"1992",12623342,"Madagascar"
"1993",13020100,"Madagascar"
"1994",13436121,"Madagascar"
"1995",13869138,"Madagascar"
"1996",14317454,"Madagascar"
"1997",14778903,"Madagascar"
"1998",15250934,"Madagascar"
"1999",15730885,"Madagascar"
"2000",16216431,"Madagascar"
"2001",16709665,"Madagascar"
"2002",17211934,"Madagascar"
"2003",17724310,"Madagascar"
"2004",18250774,"Madagascar"
"2005",18792171,"Madagascar"
"2006",19350299,"Madagascar"
"2007",19924958,"Madagascar"
"2008",20513599,"Madagascar"
"2009",21117092,"Madagascar"
"2010",21731053,"Madagascar"
"2011",22348158,"Madagascar"
"2012",22966240,"Madagascar"
"2013",23588073,"Madagascar"
"2014",24215976,"Madagascar"
"2015",24850912,"Madagascar"
"2016",25501941,"Madagascar"
"2017",26169542,"Madagascar"
"2018",26846541,"Madagascar"
"2019",27533134,"Madagascar"
"2020",28225177,"Madagascar"
"2021",28915653,"Madagascar"
